periode;suhu
19/10/2022;26,05
20/10/2022;26,22
21/10/2022;26,54
22/10/2022;25,87
23/10/2022;25,67
24/10/2022;25,76
25/10/2022;25,57
26/10/2022;25,38
27/10/2022;26,15
28/10/2022;26,5
29/10/2022;26,55
30/10/2022;26,16
31/10/2022;26,15
01/11/2022;26,4
02/11/2022;26,46
03/11/2022;25,94
04/11/2022;26,51
05/11/2022;24,97
06/11/2022;24,97
07/11/2022;25,97
08/11/2022;25,62
09/11/2022;25,67
10/11/2022;25,53
11/11/2022;26,34
12/11/2022;25,76
13/11/2022;25,87
14/11/2022;25,35
15/11/2022;25,98
16/11/2022;25,76
17/11/2022;25,23
18/11/2022;25,78
19/11/2022;25,6
20/11/2022;26,1
21/11/2022;26,22
22/11/2022;26,26
23/11/2022;25,64
24/11/2022;26,15
25/11/2022;25,98
26/11/2022;26,07
27/11/2022;26,27
28/11/2022;26,43
29/11/2022;26
30/11/2022;25,47
01/12/2022;25,15
02/12/2022;25,38
03/12/2022;25,71
04/12/2022;25,45
05/12/2022;26,1
06/12/2022;25,94
07/12/2022;26,42
08/12/2022;25,23
09/12/2022;25,24
10/12/2022;25,33
11/12/2022;25,65
12/12/2022;25,69
13/12/2022;25,17
14/12/2022;24,93
15/12/2022;24,8
16/12/2022;26,19
17/12/2022;25,93
18/12/2022;25,74
19/12/2022;25,51
20/12/2022;26,15
21/12/2022;25,48
22/12/2022;25,11
23/12/2022;24,94
24/12/2022;25,87
25/12/2022;25,25
26/12/2022;25,72
27/12/2022;25,83
28/12/2022;25,67
29/12/2022;24,95
30/12/2022;25,29
31/12/2022;25,12
